state,district,taluka,season,N,P,K,temperature,humidity,ph,rainfall,label,avg_price,yield_per_hectare
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_1,Kharif,64,27,40,21.12037280884873,47.79972601681013,5.6452090304204985,1585.8818332398962,cotton,34.286681792194074,2231.9546404874764
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_2,Kharif,51,43,49,22.246782213565524,49.09124836035503,5.958511274633585,686.7875887352603,soybean,20.70663052197174,850.7373350911147
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_3,Summer,108,47,35,22.655426808606084,44.53032172664104,7.045965023332718,811.9391860274604,cotton,79.24145688620425,902.190907983995
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_4,Summer,56,40,28,19.30103185970559,87.44427686266667,7.914080082686398,1493.4357569863378,rice,21.59662522202142,1307.9664163687278
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_5,Summer,109,26,27,18.687770422304368,85.4660201039391,6.146949954000043,1260.035654966371,wheat,62.51558744912447,1257.4716583100153
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_6,Rabi,112,37,45,26.995082667395312,59.757511800090725,7.816647164484485,1363.6351933702733,banana,28.84925020519195,1231.1622973221195
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_7,Kharif,111,59,40,25.77354579378964,53.567451588694794,7.571843772879824,770.8053227097429,cotton,80.70342476866847,1407.1982004495953
Andhra Pradesh,Andhra Pradesh_District_1,Andhra Pradesh_District_1_Taluka_8,Kharif,64,20,44,37.73773873201034,78.61223846483287,5.996789203835431,208.83538739776384,sugarcane,39.884240408880515,2364.95229604703
Andhra Pradesh,Andhra Pradesh_District_2,Andhra Pradesh_District_2_Taluka_1,Kharif,54,58,47,35.26206851751187,71.1649063413779,6.327245062131623,301.6933604576378,banana,86.88412526636073,2265.0291845584925
Andhra Pradesh,Andhra Pradesh_District_2,Andhra Pradesh_District_2_Taluka_2,Rabi,84,20,54,20.391884918766035,75.66223936114974,7.401962621542244,1098.043516111194,banana,45.606832276132394,888.9538969845489
